symbol,module,current_evidence_role,trial_gap,next_trial_or_preclinical_step,guardrail
SNCA,alpha-synuclein aggregation and propagation,central PD pathology target,strong biological rationale; need target engagement and disease-modification evidence,"Use alpha-synuclein PFF or SNCA-mutant iPSC dopaminergic neurons with pS129 aggregation, synaptic, and viability endpoints.",requires preclinical validation and regulatory review before clinical translation
GLP1R,metabolic and GLP-1 receptor signalling,repurposing target with phase 2 PD signals,"trial_signal_exists; need mechanism, subgroup and long-term disease-modification confirmation","Test GLP-1 agonists in metabolic/inflammatory stress co-culture with neuronal survival, cytokines, and mitochondrial respiration endpoints.",requires preclinical validation and regulatory review before clinical translation
LRRK2,LRRK2 kinase and lysosomal stress,genetically anchored kinase target,"genetically anchored; need safety, target engagement and mutation-stratified trial evidence","Test best-supported LRRK2 inhibitors in G2019S iPSC dopaminergic neurons using phospho-Rab10, lysosome, mitochondrial, and neurite endpoints.",requires preclinical validation and regulatory review before clinical translation
GBA1,GBA1 lysosome/autophagy,lysosomal enzyme and PD risk gene,strong biological rationale; need target engagement and disease-modification evidence,"Test GCase modulators in GBA1-mutant iPSC dopaminergic neurons using GCase activity, lysosomal pH, alpha-synuclein, and survival endpoints.",requires preclinical validation and regulatory review before clinical translation
MAPK1,MAP kinase activation,Reactome-highlighted signalling hub,compound tractability exists; PD-specific efficacy gap remains,"Run target-specific perturbation in stress-response assay in neurons and microglia using phospho-ERK, inflammatory/stress response, toxicity counterscreen.",requires preclinical validation and regulatory review before clinical translation
NOD2,NOD1/2 inflammatory signalling,Reactome-highlighted innate immune sensor,preclinical validation gap before drug-development triage,"Validate immune modulation in iPSC-derived microglia/neuron co-culture using cytokines, NF-kB/stress markers, and neuronal toxicity.",requires preclinical validation and regulatory review before clinical translation
IL17A,IL-17 inflammatory signalling,Reactome-highlighted cytokine pathway node,compound tractability exists; PD-specific efficacy gap remains,"Validate immune modulation in iPSC-derived microglia/neuron co-culture using cytokines, NF-kB/stress markers, and neuronal toxicity.",requires preclinical validation and regulatory review before clinical translation
TLR2,innate immune signalling,Reactome-highlighted innate immune receptor,compound tractability exists; PD-specific efficacy gap remains,"Validate immune modulation in iPSC-derived microglia/neuron co-culture using cytokines, NF-kB/stress markers, and neuronal toxicity.",requires preclinical validation and regulatory review before clinical translation
NTRK1,NTRK/neurotrophin signalling,Reactome-highlighted trophic signalling node,compound tractability exists; PD-specific efficacy gap remains,"Run target-specific perturbation in dopaminergic neuron survival/trophic support model using neurite length, survival, phospho-ERK/AKT.",requires preclinical validation and regulatory review before clinical translation
SLC6A3,dopaminergic synapse,dopamine transporter marker and dopaminergic phenotype readout,compound tractability exists; PD-specific efficacy gap remains,"Run target-specific perturbation in iPSC dopaminergic neuron maturation/readout assay using DAT expression/function, dopamine uptake, neuron identity QC.",requires preclinical validation and regulatory review before clinical translation
PINK1,mitochondrial quality control,mitophagy kinase and recessive PD gene,compound tractability exists; PD-specific efficacy gap remains,Use iPSC dopaminergic neurons with mitochondrial stress and mitophagy/respiration/ROS assays.,requires preclinical validation and regulatory review before clinical translation
LAMP2,lysosome/autophagy,lysosomal/autophagy marker,compound tractability exists; PD-specific efficacy gap remains,"Run target-specific perturbation in iPSC dopaminergic neurons with lysosomal stress using LC3/p62 flux, lysosomal pH, autophagosome clearance.",requires preclinical validation and regulatory review before clinical translation
MYD88,innate immune signalling,TLR adaptor in Reactome MyD88/MAL cascade,preclinical validation gap before drug-development triage,"Validate immune modulation in iPSC-derived microglia/neuron co-culture using cytokines, NF-kB/stress markers, and neuronal toxicity.",requires preclinical validation and regulatory review before clinical translation
NDUFS3,mitochondrial oxidative phosphorylation,complex I pathway marker from pilot omics,compound tractability exists; PD-specific efficacy gap remains,Use iPSC dopaminergic neurons with mitochondrial stress and mitophagy/respiration/ROS assays.,requires preclinical validation and regulatory review before clinical translation
PRKN,mitochondrial quality control,E3 ligase and recessive PD gene,preclinical validation gap before drug-development triage,Use iPSC dopaminergic neurons with mitochondrial stress and mitophagy/respiration/ROS assays.,requires preclinical validation and regulatory review before clinical translation
