symbol,module,ensembl_id,opentargets_status,gwas_target_support,gwas_rationale,colocalisation_status,colocalisation_inputs_needed,mendelian_randomisation_status,mr_use_case,eqtl_pqtl_mapping_status,variant_to_pathway_score_0_100,interpretation,opentargets_public_api_status,opentargets_pd_overall_score,opentargets_pd_genetic_score,gwas_catalog_status,gwas_catalog_mapped_association_count
SNCA,alpha-synuclein aggregation and propagation,ENSG00000145335,ok,high,PD GWAS/familial alpha-synuclein locus; aggregation pathway anchor,blocked_requires_full_gwas_and_qtl_summary_statistics,PD GWAS summary statistics plus tissue-matched eQTL/pQTL summary statistics,blocked_requires_validated_instruments_and_outcome_summary_statistics,target-mediated MR if cis instruments exist; exposure MR for pesticide/air-pollution/metabolic/activity hypotheses,blocked_requires_tissue_matched_qtl_summary_statistics,85,causal-priority candidate,ok,0.8010568055473846,0.8584604811190176,executed_public_api,8
GLP1R,metabolic and GLP-1 receptor signalling,ENSG00000112164,ok,low_to_moderate,not yet genetically triangulated in this repository,blocked_requires_full_gwas_and_qtl_summary_statistics,PD GWAS summary statistics plus tissue-matched eQTL/pQTL summary statistics,blocked_requires_validated_instruments_and_outcome_summary_statistics,target-mediated MR if cis instruments exist; exposure MR for pesticide/air-pollution/metabolic/activity hypotheses,blocked_requires_tissue_matched_qtl_summary_statistics,54,requires genetic triangulation before causal claim,ok,0.3271311852322078,,executed_public_api,0
LRRK2,LRRK2 kinase and lysosomal stress,ENSG00000188906,ok,high,PD GWAS and monogenic kinase locus; strong variant-to-target support,blocked_requires_full_gwas_and_qtl_summary_statistics,PD GWAS summary statistics plus tissue-matched eQTL/pQTL summary statistics,blocked_requires_validated_instruments_and_outcome_summary_statistics,target-mediated MR if cis instruments exist; exposure MR for pesticide/air-pollution/metabolic/activity hypotheses,blocked_requires_tissue_matched_qtl_summary_statistics,85,causal-priority candidate,ok,0.8349742982582067,0.9387104564507249,executed_public_api,7
GBA1,GBA1 lysosome/autophagy,ENSG00000177628,ok,high,major PD risk gene with lysosomal biology link,blocked_requires_full_gwas_and_qtl_summary_statistics,PD GWAS summary statistics plus tissue-matched eQTL/pQTL summary statistics,blocked_requires_validated_instruments_and_outcome_summary_statistics,target-mediated MR if cis instruments exist; exposure MR for pesticide/air-pollution/metabolic/activity hypotheses,blocked_requires_tissue_matched_qtl_summary_statistics,85,causal-priority candidate,ok,0.7430513714515603,0.8537340260443175,executed_public_api,3
MAPK1,MAP kinase activation,ENSG00000100030,ok,moderate_pathway,pathway-central inflammatory/stress kinase; requires locus-level triangulation,blocked_requires_full_gwas_and_qtl_summary_statistics,PD GWAS summary statistics plus tissue-matched eQTL/pQTL summary statistics,blocked_requires_validated_instruments_and_outcome_summary_statistics,target-mediated MR if cis instruments exist; exposure MR for pesticide/air-pollution/metabolic/activity hypotheses,blocked_requires_tissue_matched_qtl_summary_statistics,64,requires genetic triangulation before causal claim,ok,0.09134884291088255,,executed_public_api,0
NOD2,NOD1/2 inflammatory signalling,ENSG00000167207,ok,moderate_pathway,immune innate-sensing hypothesis; requires colocalisation or MR support,blocked_requires_full_gwas_and_qtl_summary_statistics,PD GWAS summary statistics plus tissue-matched eQTL/pQTL summary statistics,blocked_requires_validated_instruments_and_outcome_summary_statistics,target-mediated MR if cis instruments exist; exposure MR for pesticide/air-pollution/metabolic/activity hypotheses,blocked_requires_tissue_matched_qtl_summary_statistics,64,requires genetic triangulation before causal claim,ok,0.3254090244519158,0.5050964074864234,executed_public_api,1
IL17A,IL-17 inflammatory signalling,ENSG00000112115,ok,moderate_pathway,immune cytokine hypothesis; requires causal triangulation,blocked_requires_full_gwas_and_qtl_summary_statistics,PD GWAS summary statistics plus tissue-matched eQTL/pQTL summary statistics,blocked_requires_validated_instruments_and_outcome_summary_statistics,target-mediated MR if cis instruments exist; exposure MR for pesticide/air-pollution/metabolic/activity hypotheses,blocked_requires_tissue_matched_qtl_summary_statistics,64,requires genetic triangulation before causal claim,ok,0.09819036194706225,,executed_public_api,0
TLR2,innate immune signalling,ENSG00000137462,ok,moderate_pathway,microglial innate immune hypothesis; requires locus-level triangulation,blocked_requires_full_gwas_and_qtl_summary_statistics,PD GWAS summary statistics plus tissue-matched eQTL/pQTL summary statistics,blocked_requires_validated_instruments_and_outcome_summary_statistics,target-mediated MR if cis instruments exist; exposure MR for pesticide/air-pollution/metabolic/activity hypotheses,blocked_requires_tissue_matched_qtl_summary_statistics,63,requires genetic triangulation before causal claim,ok,0.1101847979258458,,executed_public_api,0
NTRK1,NTRK/neurotrophin signalling,ENSG00000198400,ok,low_to_moderate,not yet genetically triangulated in this repository,blocked_requires_full_gwas_and_qtl_summary_statistics,PD GWAS summary statistics plus tissue-matched eQTL/pQTL summary statistics,blocked_requires_validated_instruments_and_outcome_summary_statistics,target-mediated MR if cis instruments exist; exposure MR for pesticide/air-pollution/metabolic/activity hypotheses,blocked_requires_tissue_matched_qtl_summary_statistics,52,requires genetic triangulation before causal claim,ok,0.20254661795557544,,executed_public_api,1
SLC6A3,dopaminergic synapse,ENSG00000142319,ok,low_to_moderate,not yet genetically triangulated in this repository,blocked_requires_full_gwas_and_qtl_summary_statistics,PD GWAS summary statistics plus tissue-matched eQTL/pQTL summary statistics,blocked_requires_validated_instruments_and_outcome_summary_statistics,target-mediated MR if cis instruments exist; exposure MR for pesticide/air-pollution/metabolic/activity hypotheses,blocked_requires_tissue_matched_qtl_summary_statistics,51,requires genetic triangulation before causal claim,ok,0.3311963884466322,,executed_public_api,0
PINK1,mitochondrial quality control,ENSG00000158828,ok,high_familial,familial recessive PD gene; mitophagy anchor,blocked_requires_full_gwas_and_qtl_summary_statistics,PD GWAS summary statistics plus tissue-matched eQTL/pQTL summary statistics,blocked_requires_validated_instruments_and_outcome_summary_statistics,target-mediated MR if cis instruments exist; exposure MR for pesticide/air-pollution/metabolic/activity hypotheses,blocked_requires_tissue_matched_qtl_summary_statistics,75,causal-priority candidate,ok,0.5590993147025926,,executed_public_api,0
LAMP2,lysosome/autophagy,ENSG00000005893,ok,low_to_moderate,not yet genetically triangulated in this repository,blocked_requires_full_gwas_and_qtl_summary_statistics,PD GWAS summary statistics plus tissue-matched eQTL/pQTL summary statistics,blocked_requires_validated_instruments_and_outcome_summary_statistics,target-mediated MR if cis instruments exist; exposure MR for pesticide/air-pollution/metabolic/activity hypotheses,blocked_requires_tissue_matched_qtl_summary_statistics,49,requires genetic triangulation before causal claim,ok,0.04199030497293368,,executed_public_api,0
MYD88,innate immune signalling,ENSG00000172936,ok,moderate_pathway,adapter in TLR/IL1 inflammatory signalling; pathway support,blocked_requires_full_gwas_and_qtl_summary_statistics,PD GWAS summary statistics plus tissue-matched eQTL/pQTL summary statistics,blocked_requires_validated_instruments_and_outcome_summary_statistics,target-mediated MR if cis instruments exist; exposure MR for pesticide/air-pollution/metabolic/activity hypotheses,blocked_requires_tissue_matched_qtl_summary_statistics,59,requires genetic triangulation before causal claim,ok,,,executed_public_api,0
NDUFS3,mitochondrial oxidative phosphorylation,ENSG00000213619,ok,low_to_moderate,not yet genetically triangulated in this repository,blocked_requires_full_gwas_and_qtl_summary_statistics,PD GWAS summary statistics plus tissue-matched eQTL/pQTL summary statistics,blocked_requires_validated_instruments_and_outcome_summary_statistics,target-mediated MR if cis instruments exist; exposure MR for pesticide/air-pollution/metabolic/activity hypotheses,blocked_requires_tissue_matched_qtl_summary_statistics,48,requires genetic triangulation before causal claim,ok,0.31641125741480414,,executed_public_api,0
PRKN,mitochondrial quality control,ENSG00000185345,ok,high_familial,familial recessive PD gene; mitophagy anchor,blocked_requires_full_gwas_and_qtl_summary_statistics,PD GWAS summary statistics plus tissue-matched eQTL/pQTL summary statistics,blocked_requires_validated_instruments_and_outcome_summary_statistics,target-mediated MR if cis instruments exist; exposure MR for pesticide/air-pollution/metabolic/activity hypotheses,blocked_requires_tissue_matched_qtl_summary_statistics,71,causal-priority candidate,ok,0.6023809968104902,0.7908071891918208,executed_public_api,0
