symbol,ensembl_id,api_status,pd_disease_id,pd_disease_name,overall_association_score,genetic_association_score,affected_pathway_score,literature_score,datatype_scores_json
SNCA,ENSG00000145335,ok,Orphanet_411602,Hereditary late-onset Parkinson disease,0.8010568055473846,0.8584604811190176,,,"{""genetic_association"": 0.8584604811190176, ""genetic_literature"": 0.8948362245674483}"
GLP1R,ENSG00000112164,ok,MONDO_0005180,Parkinson disease,0.3271311852322078,,,0.9535329535111169,"{""clinical"": 0.4904293119458496, ""literature"": 0.9535329535111169}"
LRRK2,ENSG00000188906,ok,Orphanet_411602,Hereditary late-onset Parkinson disease,0.8349742982582067,0.9387104564507249,,0.0494834907948662,"{""genetic_association"": 0.9387104564507249, ""genetic_literature"": 0.8469151489393895, ""literature"": 0.0494834907948662}"
GBA1,ENSG00000177628,ok,MONDO_0005180,Parkinson disease,0.7430513714515603,0.8537340260443175,,0.9940684018751669,"{""genetic_association"": 0.8537340260443175, ""genetic_literature"": 0.547137717850459, ""literature"": 0.9940684018751669}"
MAPK1,ENSG00000100030,ok,MONDO_0005180,Parkinson disease,0.09134884291088255,,,0.751309550937088,"{""literature"": 0.751309550937088}"
NOD2,ENSG00000167207,ok,MONDO_0005180,Parkinson disease,0.3254090244519158,0.5050964074864234,,0.6035345684082294,"{""genetic_association"": 0.5050964074864234, ""literature"": 0.6035345684082294}"
IL17A,ENSG00000112115,ok,MONDO_0005180,Parkinson disease,0.09819036194706225,,,0.8075784475208602,"{""literature"": 0.8075784475208602}"
TLR2,ENSG00000137462,ok,MONDO_0005180,Parkinson disease,0.1101847979258458,,,0.9062281295727164,"{""literature"": 0.9062281295727164}"
NTRK1,ENSG00000198400,ok,MONDO_0005180,Parkinson disease,0.20254661795557544,,0.3226737952234518,0.21000022641035893,"{""affected_pathway"": 0.3226737952234518, ""literature"": 0.21000022641035893}"
SLC6A3,ENSG00000142319,ok,MONDO_0005180,Parkinson disease,0.3311963884466322,,0.47462246497174854,0.9699741326715523,"{""affected_pathway"": 0.47462246497174854, ""clinical"": 0.18195258490284957, ""literature"": 0.9699741326715523, ""rna_expression"": 0.11638277937789922}"
PINK1,ENSG00000158828,ok,EFO_0022988,Parkinson disease 6,0.5590993147025926,,,0.012158615952232422,"{""genetic_literature"": 0.9190679877429972, ""literature"": 0.012158615952232422}"
LAMP2,ENSG00000005893,ok,MONDO_0005180,Parkinson disease,0.04199030497293368,,,0.3453543161318777,"{""literature"": 0.3453543161318777}"
MYD88,ENSG00000172936,ok,,,,,,,{}
NDUFS3,ENSG00000213619,ok,MONDO_0005180,Parkinson disease,0.31641125741480414,,,0.10840022098601403,"{""clinical"": 0.5150524813098456, ""literature"": 0.10840022098601403}"
PRKN,ENSG00000185345,ok,MONDO_0017279,young-onset Parkinson disease,0.6023809968104902,0.7908071891918208,,0.10629056726787102,"{""genetic_association"": 0.7908071891918208, ""literature"": 0.10629056726787102}"
