"sample","group","median_expression","iqr_expression"
"GSM1859079","Control",7.497951677,4.388497057
"GSM1859080","PD",7.480379621,4.384144486
"GSM1859081","PD",7.458905516,4.326700603
"GSM1859082","Control",7.396142035,4.386456928
"GSM1859083","Control",7.445356,4.429836592
"GSM1859084","PD",7.481445161,4.337538919
"GSM1859085","Control",7.446202992,4.468493229
"GSM1859086","PD",7.39304325,4.192067213
"GSM1859087","Control",7.412050526,4.389821426
"GSM1859088","PD",7.470303146,4.43769409
"GSM1859089","PD",7.474392468,4.377915536
"GSM1859090","Control",7.532519955,4.440763193
"GSM1859091","Control",7.397424796,4.386328962
"GSM1859092","PD",7.502548545,4.486467585
"GSM1859093","Control",7.420145524,4.422007681
"GSM1859094","Control",7.465179697,4.427835874
"GSM1859095","PD",7.486946037,4.457574076
"GSM1859096","PD",7.421424404,4.453349627
"GSM1859097","Control",7.521902251,4.324252133
"GSM1859098","PD",7.352929201,4.343298064
"GSM1859099","Control",7.474337794,4.329497359
"GSM1859100","PD",7.391073076,4.261611174
"GSM1859101","Control",7.4594804,4.43240622
"GSM1859102","PD",7.31955123,4.367950044
"GSM1859103","PD",7.426465399,4.360524812
"GSM1859104","Control",7.48091504,4.348220307
"GSM1859105","PD",7.307743782,4.319535334
"GSM1859106","Control",7.482955691,4.380090486
"GSM1859107","Control",7.509703608,4.315781401
"GSM1859108","PD",7.38923614,4.27860438
"GSM1859109","Control",7.503923299,4.366240407
"GSM1859110","PD",7.457716886,4.349507772
"GSM1859111","Control",7.550209815,4.389663015
"GSM1859112","PD",7.363501948,4.322990743
"GSM1859113","Control",7.422935424,4.268735148
"GSM1859114","PD",7.417764973,4.357707019
"GSM1859115","PD",7.404063033,4.360711773
"GSM1859116","Control",7.556005838,4.313286503
"GSM1859117","PD",7.467719305,4.436380979
"GSM1859118","PD",7.507414044,4.351736906
"GSM1859119","PD",7.444128772,4.230959888
"GSM1859120","PD",7.45550531,4.316997719
"GSM1859121","PD",7.538590387,4.383080339
"GSM1859122","PD",7.484031489,4.364124372
"GSM1859123","PD",7.456124507,4.383824865
"GSM1859124","PD",7.485572528,4.362655391
"GSM1859125","PD",7.43653231,4.395225818
"GSM1859126","PD",7.505782508,4.362377194
"GSM1859127","PD",7.495789574,4.341597312
"GSM1859128","PD",7.531644206,4.397614901
"GSM1859129","PD",7.510810557,4.460523905
"GSM1859130","PD",7.467910746,4.362317715
"GSM1859131","PD",7.57993701,4.412562124
"GSM1859132","PD",7.517195945,4.475842452
"GSM1859133","PD",7.489785185,4.434755844
"GSM1859134","PD",7.457854943,4.349456312
"GSM1859135","PD",7.476143849,4.500967922
"GSM1859136","PD",7.597480703,4.502177848
"GSM1859137","PD",7.532031724,4.396307948
