"sample","group","PC1","PC2"
"GSM1859079","Control",-38.2900306391463,22.1173273524351
"GSM1859080","PD",3.80901497086753,21.9484574619492
"GSM1859081","PD",63.0364018072017,96.7930480518912
"GSM1859082","Control",-81.3813762986865,41.5011929897148
"GSM1859083","Control",-105.839846703816,-2.83656870456196
"GSM1859084","PD",85.8640927847909,-21.1929114726986
"GSM1859085","Control",-107.047855460416,-15.2861265759522
"GSM1859086","PD",35.6431903797573,119.188086653835
"GSM1859087","Control",-116.643511892933,6.55858285677706
"GSM1859088","PD",-55.4966520931841,16.0301660593914
"GSM1859089","PD",-30.6429584616576,46.7591664132867
"GSM1859090","Control",-58.6047583953159,-27.2305704908295
"GSM1859091","Control",-54.362115976829,32.6301891660818
"GSM1859092","PD",-30.1488929196869,10.0917656790699
"GSM1859093","Control",-86.9281496718877,19.8439152072967
"GSM1859094","Control",88.6924755483608,1.32983805889086
"GSM1859095","PD",33.5257583862312,-18.008433791118
"GSM1859096","PD",-96.4159972209283,13.1425696470236
"GSM1859097","Control",0.519447730480648,-57.4103310619206
"GSM1859098","PD",-59.4881549352392,63.9518548599815
"GSM1859099","Control",-3.18447159577286,-49.8554494835678
"GSM1859100","PD",-45.2128310824702,86.83305951988
"GSM1859101","Control",-24.681330402267,-47.4369297208687
"GSM1859102","PD",-119.933442255818,64.3969036686228
"GSM1859103","PD",14.6909922117722,-14.0549181507642
"GSM1859104","Control",42.9695592443952,-12.6429369159268
"GSM1859105","PD",-86.5833528569136,67.1010658246556
"GSM1859106","Control",81.1910278411365,25.7718124064346
"GSM1859107","Control",78.5044379804871,59.9092350295298
"GSM1859108","PD",79.3248577854723,8.33296583566523
"GSM1859109","Control",79.8338279706832,37.1124523559773
"GSM1859110","PD",3.31375413023525,-15.8106480862987
"GSM1859111","Control",102.466337242896,12.0498976837631
"GSM1859112","PD",-67.6120132817456,47.5890517083304
"GSM1859113","Control",165.147840080625,83.8178103188654
"GSM1859114","PD",-51.9185402917517,49.705470861516
"GSM1859115","PD",-77.5590974014989,37.2399307005218
"GSM1859116","Control",110.653230830621,-2.704871084975
"GSM1859117","PD",-19.9517995217301,-24.6571713946848
"GSM1859118","PD",12.1819780299693,-35.8224435141559
"GSM1859119","PD",110.19122564882,19.1136344538274
"GSM1859120","PD",34.526463384986,-43.9890860252002
"GSM1859121","PD",9.59296501144388,-47.533273538592
"GSM1859122","PD",57.7066403854458,-23.2044253645269
"GSM1859123","PD",62.238342355752,-0.876415405889494
"GSM1859124","PD",94.4000133001133,-14.5344043632576
"GSM1859125","PD",7.05534954094856,-9.38089861136716
"GSM1859126","PD",29.6307112204774,-58.3520885804915
"GSM1859127","PD",26.7077082264653,-40.2262979677132
"GSM1859128","PD",23.4215017232421,-50.4718887697591
"GSM1859129","PD",-47.8997346579012,-77.1849111873332
"GSM1859130","PD",17.0048323978337,-43.4454740283777
"GSM1859131","PD",-18.6591130909091,-66.8962604531369
"GSM1859132","PD",15.7935488242333,-38.2012836776762
"GSM1859133","PD",-44.1183592648628,-47.1453396462362
"GSM1859134","PD",23.7785240754136,-28.6955923392991
"GSM1859135","PD",-53.891928798165,-64.8907758513203
"GSM1859136","PD",-47.0972604889363,-85.5104203227243
"GSM1859137","PD",36.1775246093143,-25.370304243988
