intervention_or_target,primary_target_pathway,priority_score_0_100,classification,rationale,evidence_type,traceability_note
Pesticide exposure reduction,paraquat/rotenone/occupational exposures,83,High translational priority,Prevention-first policy candidate; intervention trials impractical but public-health logic strong.,clinical + mechanistic + genetics/omics + implementation,Scores are transparent expert synthesis; source identifiers are in references_audit.csv and source CSVs.
Structured aerobic/resistance exercise,exercise neuroplasticity/metabolic reserve,82,High translational priority,Strong feasibility and broad-health benefit; disease-modifying proof remains indirect.,clinical + mechanistic + genetics/omics + implementation,Scores are transparent expert synthesis; source identifiers are in references_audit.csv and source CSVs.
GLP-1 receptor agonists,lixisenatide/exenatide/semaglutide class,72,Promising but needs validation,Phase 2 signal with mixed class-level uncertainty; metabolic plausibility.,clinical + mechanistic + genetics/omics + implementation,Scores are transparent expert synthesis; source identifiers are in references_audit.csv and source CSVs.
Mediterranean/MIND-style dietary pattern,metabolic/vascular/inflammatory pathways,66,Promising but needs validation,Favorable safety and population feasibility; causal PD-specific evidence is less direct.,clinical + mechanistic + genetics/omics + implementation,Scores are transparent expert synthesis; source identifiers are in references_audit.csv and source CSVs.
LRRK2 inhibition,LRRK2 kinase pathway,64,Promising but needs validation,Genetically anchored and in active trials; genotype-specific relevance.,clinical + mechanistic + genetics/omics + implementation,Scores are transparent expert synthesis; source identifiers are in references_audit.csv and source CSVs.
GBA/lysosomal modulation,"GBA1, glucocerebrosidase, lysosome",62,Promising but needs validation,Strong genetic/lysosomal rationale; clinical efficacy not established.,clinical + mechanistic + genetics/omics + implementation,Scores are transparent expert synthesis; source identifiers are in references_audit.csv and source CSVs.
Head-injury prevention,TBI and neuroinflammatory priming,61,Promising but needs validation,Low-risk preventive strategy; magnitude for PD prevention uncertain.,clinical + mechanistic + genetics/omics + implementation,Scores are transparent expert synthesis; source identifiers are in references_audit.csv and source CSVs.
Air-pollution reduction,"PM2.5/NO2, inflammation, oxidative stress",60,Promising but needs validation,Public-health relevance high; PD-specific causal strength variable.,clinical + mechanistic + genetics/omics + implementation,Scores are transparent expert synthesis; source identifiers are in references_audit.csv and source CSVs.
Alpha-synuclein immunotherapy,aggregated alpha-synuclein,54,Biologically interesting but weak human evidence,Two major antibody trials did not meet primary endpoints; vaccines/next-generation approaches remain investigational.,clinical + mechanistic + genetics/omics + implementation,Scores are transparent expert synthesis; source identifiers are in references_audit.csv and source CSVs.
Mitochondrial modulators,"oxidative phosphorylation, PINK1/Parkin",52,Biologically interesting but weak human evidence,Mechanistically strong but prior antioxidant-style trials have been inconsistent.,clinical + mechanistic + genetics/omics + implementation,Scores are transparent expert synthesis; source identifiers are in references_audit.csv and source CSVs.
