citation_number,title,authors,journal,year,DOI,PMID,URL,verified_yes_no,notes
1,Trial of Lixisenatide in Early Parkinson's Disease,Meissner WG et al.,New England Journal of Medicine,2024,10.1056/NEJMoa2312323,38598572,https://pubmed.ncbi.nlm.nih.gov/38598572/,yes,Phase 2 signal; gastrointestinal adverse events; not definitive disease modification.
2,"Exenatide once weekly versus placebo in Parkinson's disease: a randomised, double-blind, placebo-controlled trial",Athauda D et al.,Lancet,2017,10.1016/S0140-6736(17)31585-4,28781108,https://pubmed.ncbi.nlm.nih.gov/28781108/,yes,Positive phase 2 motor signal; later phase 3 results require cautious interpretation.
3,Trial of Prasinezumab in Early-Stage Parkinson's Disease,Pagano G et al.,New England Journal of Medicine,2022,10.1056/NEJMoa2202867,36260795,https://pubmed.ncbi.nlm.nih.gov/36260795/,yes,Alpha-synuclein antibody; primary endpoint not met.
4,Trial of Cinpanemab in Early Parkinson's Disease,Lang AE et al.,New England Journal of Medicine,2022,10.1056/NEJMoa2203395,36260796,https://pubmed.ncbi.nlm.nih.gov/36260796/,yes,Alpha-synuclein antibody; negative phase 2 efficacy result.
5,Effect of High-Intensity Treadmill Exercise on Motor Symptoms in Patients With De Novo Parkinson Disease,Schenkman M et al.,JAMA Neurology,2018,10.1001/jamaneurol.2017.3517,29228079,https://pubmed.ncbi.nlm.nih.gov/29228079/,yes,Exercise feasibility and symptomatic/progression-relevant signal.
6,Blood transcriptomics of drug-naive sporadic Parkinson's disease patients,Calligaris R et al.,BMC Genomics,2015,10.1186/s12864-015-2058-3,26537893,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72267,yes,GSE72267; blood transcriptomics; mitochondrial/immune/epigenetic signals.
7,Preclinical and clinical evaluation of the LRRK2 inhibitor DNL201 for Parkinson's disease,Jennings D et al.,Science Translational Medicine,2022,10.1126/scitranslmed.abj2658,35653347,https://pubmed.ncbi.nlm.nih.gov/35653347/,yes,Early LRRK2 inhibitor safety/pharmacodynamic evidence.
8,"Global, regional, and national burden of Parkinson's disease, 1990-2016: a systematic analysis for the Global Burden of Disease Study 2016",GBD 2016 Parkinson's Disease Collaborators,Lancet Neurology,2018,10.1016/S1474-4422(18)30295-3,30287051,https://pubmed.ncbi.nlm.nih.gov/30287051/,yes,Public-health burden context.
9,International Parkinson and Movement Disorder Society Evidence-Based Medicine Review: Update on Treatments for the Motor Symptoms of Parkinson's Disease,Fox SH et al.,Movement Disorders,2018,10.1002/mds.27372,29570866,https://pubmed.ncbi.nlm.nih.gov/29570866/,yes,Treatment evidence context; not disease-modifying proof.
10,The Parkinson's Drug Development Pipeline: 2024 Update,McFarthing K et al.,Journal of Parkinson's Disease,2024,10.3233/JPD-240272,,https://doi.org/10.3233/JPD-240272,yes,Pipeline landscape used for trial-category cross-checking.
11,GEO accession GSE72267,NCBI Gene Expression Omnibus,GEO,2015,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72267,yes,Official dataset record.
12,ClinicalTrials.gov API,National Library of Medicine,ClinicalTrials.gov,2026,,,https://clinicaltrials.gov/data-api/api,yes,Trial landscape source queried by script.
